CustomerID,CategoryID
1,5
1,9
8,7
8,10
10,0
10,7
11,10
12,1
15,5
16,0
18,5
19,0
21,9
23,6
25,0
27,6
29,8
30,3
31,5
31,10
34,5
34,7
37,6
38,6
39,7
39,3
39,0
40,2
41,9
43,6
44,9
46,5
48,3
48,1
51,10
56,8
58,7
61,5
61,2
65,4
66,2
66,5
66,7
68,5
75,5
76,7
77,3
78,4
78,8
78,5
79,2
80,7
84,8
87,2
89,2
92,4
92,10
94,1
97,5
97,9
106,1
108,4
108,6
109,5
110,4
112,7
118,9
124,7
125,4
130,5
131,2
147,4
149,5
150,7
152,10
152,0
153,10
153,9
154,4
154,1
155,9
158,2
160,1
160,8
160,10
160,5
161,5
163,1
164,5
164,1
166,7
167,0
168,0
168,9
170,6
172,6
173,2
174,2
174,6
177,8
178,6
180,3
181,6
185,6
189,1
191,5
194,7
199,0
199,8
201,5
204,2
205,7
207,8
212,1
213,2
214,5
215,6
217,9
217,4
218,6
218,10
220,6
221,4
221,10
224,4
225,4
232,2
232,3
233,2
234,9
235,7
235,1
237,6
237,3
240,1
244,8
246,7
246,3
249,9
252,0
254,9
257,0
258,9
259,5
263,9
263,8
263,7
266,2
269,7
270,6
270,1
272,10
274,1
278,10
281,0
282,1
282,4
284,9
287,9
290,5
296,0
296,5
296,9
297,2
297,0
301,8
302,1
306,10
306,4
306,6
308,2
308,6
308,9
310,0
311,1
311,10
312,7
313,2
313,4
315,7
316,9
317,3
323,3
325,6
326,4
326,5
327,1
329,10
329,5
330,0
330,4
331,10
331,5
339,8
340,5
342,5
342,6
345,6
346,4
354,5
354,6
355,0
356,4
356,1
358,7
359,0
362,1
363,9
366,7
366,3
367,2
369,5
371,4
372,5
376,7
378,8
379,7
381,3
382,0
383,3
383,8
386,4
387,10
388,5
396,4
400,9
405,6
406,9
406,4
407,0
409,2
409,0
412,3
414,1
415,6
417,3
420,10
421,3
423,10
428,4
431,1
432,4
437,6
443,8
445,10
446,0
447,7
450,7
452,9
454,10
454,8
456,9
462,7
463,10
465,5
467,2
468,3
470,9
470,5
470,2
470,7
471,10
472,0
472,1
475,10
478,10
482,5
484,10
487,8
489,1
490,1
493,0
498,4
498,3
499,5
499,10
501,0
503,0
505,9
505,2
506,5
508,5
515,5
518,10
518,2
521,0
522,9
523,8
524,0
525,9
526,6
526,9
527,5
533,9
536,9
538,7
538,4
539,4
541,9
542,10
542,3
543,9
546,0
547,1
548,3
551,2
554,10
555,6
562,10
564,10
564,4
565,0
567,10
571,4
573,3
574,1
575,9
578,1
580,0
581,3
583,10
585,6
586,6
588,5
588,9
589,6
590,7
590,5
601,6
605,9
606,5
607,9
609,8
610,2
611,10
613,7
615,4
616,3
616,7
618,0
620,3
620,8
620,5
623,6
625,0
628,6
633,1
634,6
638,3
641,1
642,4
643,0
648,5
652,5
655,6
655,0
655,7
661,6
664,3
675,5
677,7
677,9
679,3
686,1
689,5
689,6
690,8
694,7
696,7
697,1
697,4
698,8
699,6
699,3
702,6
702,2
706,8
707,2
708,10
709,0
710,3
711,2
712,7
712,10
721,7
722,6
723,3
726,4
727,4
729,1
731,3
732,0
734,2
737,7
738,9
739,0
740,2
741,8
742,2
743,1
747,3
757,10
757,1
759,2
760,6
761,6
761,5
762,8
764,8
769,8
769,2
771,0
773,1
780,3
783,2
784,7
785,10
785,3
789,1
790,3
790,5
791,4
792,4
798,5
807,0
807,2
808,0
809,2
810,9
812,10
815,4
817,8
819,7
820,8
820,3
821,10
823,0
825,6
826,5
827,6
830,7
832,7
836,10
837,0
838,4
845,1
